subj_code,bin,type,prompt,category,category_type,uuid,correct_res,incorrect_res,response
A144N9R7W4H67O,7,retest,Mark is to the left of Ali. Mark looks to his left and Ali looks to his left. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,0a4dca2e-6b5e-4343-b5e3-080b1644618a,towards,away from,1
A144N9R7W4H67O,7,retest,Mark and Ali are facing BLANK eachother. Mark turns around. Ali is facing away from Mark.,two_refs_egocentric,two_refs_egocentric_context,9f2a971f-7891-4d55-82e4-80ab3569a28c,away from,towards,0
A144N9R7W4H67O,7,retest,Mark is BLANK Ali. Mark walks forwards. Mark is getting closer to Ali.,two_refs_egocentric,two_refs_egocentric_context,174f837e-4f6c-4643-9ae0-906ecb12361f,behind,in front of,1
A144N9R7W4H67O,7,retest,Mark and Ali are both facing BLANK. Ali turns to his right. Ali is facing away from Mark.,two_refs_egocentric,two_refs_egocentric_context,7df32e98-c6ec-4362-9615-aed868e66f99,left,right,1
A144N9R7W4H67O,7,retest,Ali and Mark are facing eachother. Mark turns around. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,49d0b194-7f0c-40e6-87dc-7e67c46a418e,towards,away from,1
A144N9R7W4H67O,7,retest,The ball and the box are on top of the ramp. The ball rolls down the ramp. The ball is BLANK the box.,relative_pos,relative_pos_target,e29fe444-020a-4ed2-9b9b-87fcf3d911c8,lower than,higher than,1
A144N9R7W4H67O,7,retest,Ali is holding the tennis ball and the ping pong ball is on the floor. Ali BLANK the ping pong ball. The ping pong ball is closer to the tennis ball.,relative_pos,relative_pos_context,815efc19-8692-423b-86dd-902699bb7d2b,drops,picks up,0
A144N9R7W4H67O,7,retest,Ali is to the BLANK Mark. Mark looks to his left and Ali looks to his right. Ali is facing away from Mark.,two_refs_egocentric,two_refs_egocentric_context,d455789e-7214-4ba1-ad38-64565dccbf77,right of,left of,1
A144N9R7W4H67O,7,retest,Ali is facing BLANK Mark. Ali turns around. Ali is facing towards Mark.,two_refs_egocentric,two_refs_egocentric_context,5bbd51b4-7358-40dc-a42e-da4783b55c33,away from,towards,1
A144N9R7W4H67O,7,retest,The box is next to the ball. Ali puts the box inside the ball. the ball is BLANK the box.,relative_pos,relative_pos_target,315733c9-f004-4fcf-a0fa-23ed7cf84a05,larger than,smaller than,0
A144N9R7W4H67O,7,retest,Mark is behind Ali. Mark walks backwards. Mark is getting BLANK Ali.,two_refs_egocentric,two_refs_egocentric_target,6ff6db1e-6e7d-45bd-88fa-ed04746596c0,further from,closer to,1
A144N9R7W4H67O,7,retest,Mark and Ali are both facing BLANK. Ali turns to his left. Ali is facing away from Mark.,two_refs_egocentric,two_refs_egocentric_context,0af1119d-9652-4176-bee8-91eb6bacad4d,right,left,1
A144N9R7W4H67O,7,retest,Ali is to the right of Mark. Mark looks to his left. Mark BLANK Ali.,two_refs_egocentric,two_refs_egocentric_target,5325997f-dd4a-4adb-8a34-ad602a759efe,can't see,sees,1
A144N9R7W4H67O,7,retest,Mark is to the left of Ali. Mark looks to his left and Ali looks to his right. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,e12cb996-7c2b-43c4-b4cb-e05c3fcf653d,away from,towards,1
A144N9R7W4H67O,7,retest,Ali is to Mark's right. Ali turns around. Ali is to Mark's BLANK.,two_refs_egocentric,two_refs_egocentric_target,4b5ca386-a350-417d-859e-3d21020bc450,right,left,1
A144N9R7W4H67O,7,retest,Ali is to Mark's right. Ali turns around. Ali is to Mark's BLANK.,two_refs_egocentric,two_refs_egocentric_target,4b5ca386-a350-417d-859e-3d21020bc450,right,left,1
A144N9R7W4H67O,7,retest,Mark is in front of Ali. Mark walks forwards. Mark is getting BLANK Ali.,two_refs_egocentric,two_refs_egocentric_target,bc484807-e0f6-481e-bf94-847a69b5f59b,further from,closer to,1
A144N9R7W4H67O,7,retest,Mark is in front of Ali. Mark walks forwards. Mark is getting BLANK Ali.,two_refs_egocentric,two_refs_egocentric_target,bc484807-e0f6-481e-bf94-847a69b5f59b,further from,closer to,1
A144N9R7W4H67O,7,retest,Mark is facing right and Ali is facing left. Mark turns to his left. Mark is facing BLANK Ali.,two_refs_egocentric,two_refs_egocentric_target,71bbc61c-e146-4a9e-8769-32ceff15bba6,towards,away from,0
A144N9R7W4H67O,7,retest,Mark is facing right and Ali is facing left. Mark turns to his left. Mark is facing BLANK Ali.,two_refs_egocentric,two_refs_egocentric_target,71bbc61c-e146-4a9e-8769-32ceff15bba6,towards,away from,0
A144N9R7W4H67O,7,retest,The tennis ball is BLANK the bowling ball. Ali rolls the bowling ball. The bowling ball is further from the tennis ball.,relative_pos,relative_pos_context,d9f18d62-68d4-4db8-a4b5-847c5ff40a19,touching,far from,0
A144N9R7W4H67O,7,retest,The tennis ball is BLANK the bowling ball. Ali rolls the bowling ball. The bowling ball is further from the tennis ball.,relative_pos,relative_pos_context,d9f18d62-68d4-4db8-a4b5-847c5ff40a19,touching,far from,0
A144N9R7W4H67O,7,retest,Ali is to Mark's BLANK. Ali turns around. Ali is to Mark's right.,two_refs_egocentric,two_refs_egocentric_context,5d6081c0-2b00-4c26-9edb-7aab052a472a,right,left,1
A144N9R7W4H67O,7,retest,Ali is to Mark's BLANK. Ali turns around. Ali is to Mark's right.,two_refs_egocentric,two_refs_egocentric_context,5d6081c0-2b00-4c26-9edb-7aab052a472a,right,left,1
A144N9R7W4H67O,7,retest,Mark and Ali are both facing left. Ali turns to his right. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,0efcb0c1-350a-4c40-bf4c-954939371c8e,away from,towards,0
A144N9R7W4H67O,7,retest,Mark and Ali are both facing left. Ali turns to his right. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,0efcb0c1-350a-4c40-bf4c-954939371c8e,away from,towards,0
A144N9R7W4H67O,7,retest,The box is next to the ball. Ali puts the BLANK. the ball is larger than the box.,relative_pos,relative_pos_context,db44d1c2-8255-4f3c-a854-369f71e3d5bb,box inside the ball,ball inside the box,0
A144N9R7W4H67O,7,retest,The box is next to the ball. Ali puts the BLANK. the ball is larger than the box.,relative_pos,relative_pos_context,db44d1c2-8255-4f3c-a854-369f71e3d5bb,box inside the ball,ball inside the box,0
A144N9R7W4H67O,7,retest,Ali is to the BLANK Mark. Mark looks to his right. Mark see Ali.,two_refs_egocentric,two_refs_egocentric_context,8f7779d1-883f-4bd5-951d-7634f15a3147,right of,left of,1
A144N9R7W4H67O,7,retest,Ali is to the BLANK Mark. Mark looks to his right. Mark see Ali.,two_refs_egocentric,two_refs_egocentric_context,8f7779d1-883f-4bd5-951d-7634f15a3147,right of,left of,1
A144N9R7W4H67O,7,retest,Mark and Ali are both facing right. Ali turns to his left. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,47c656dc-8025-40bc-a1fe-3bb9814b4cbb,away from,towards,0
A144N9R7W4H67O,7,retest,Mark and Ali are both facing right. Ali turns to his left. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,47c656dc-8025-40bc-a1fe-3bb9814b4cbb,away from,towards,0
A144N9R7W4H67O,7,retest,Ali is facing BLANK Mark. Ali turns around. Ali is facing away from Mark.,two_refs_egocentric,two_refs_egocentric_context,0e1987d0-56ac-4faf-bf4c-00e9eca4c1aa,towards,away from,1
A144N9R7W4H67O,7,retest,Ali is facing BLANK Mark. Ali turns around. Ali is facing away from Mark.,two_refs_egocentric,two_refs_egocentric_context,0e1987d0-56ac-4faf-bf4c-00e9eca4c1aa,towards,away from,1
A144N9R7W4H67O,7,retest,Mark and Ali are facing away from eachother. Mark turns around. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,2deab35e-de13-4997-800d-a76f6de872b5,away from,towards,1
A144N9R7W4H67O,7,retest,Mark and Ali are facing away from eachother. Mark turns around. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,2deab35e-de13-4997-800d-a76f6de872b5,away from,towards,1
A144N9R7W4H67O,7,retest,Mark is facing BLANK and Ali is facing left. Mark turns to his left. Mark is facing towards Ali.,two_refs_egocentric,two_refs_egocentric_context,1eead36c-5b61-4688-b511-77cd096d296f,right,left,1
A144N9R7W4H67O,7,retest,Mark is facing BLANK and Ali is facing left. Mark turns to his left. Mark is facing towards Ali.,two_refs_egocentric,two_refs_egocentric_context,1eead36c-5b61-4688-b511-77cd096d296f,right,left,1
A144N9R7W4H67O,7,retest,Mark is facing away from Ali. Ali turns around. Mark is facing BLANK Ali.,two_refs_egocentric,two_refs_egocentric_target,cbb6e2d4-1f3b-4790-adce-17e1a11978f5,away,towards,1
A144N9R7W4H67O,7,retest,Mark is facing away from Ali. Ali turns around. Mark is facing BLANK Ali.,two_refs_egocentric,two_refs_egocentric_target,cbb6e2d4-1f3b-4790-adce-17e1a11978f5,away,towards,1
A144N9R7W4H67O,7,retest,Ali is facing towards Mark. Ali turns around. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,15f7aaca-0828-405a-ae37-1c872c41f911,away,towards,1
A144N9R7W4H67O,7,retest,Ali is facing towards Mark. Ali turns around. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,15f7aaca-0828-405a-ae37-1c872c41f911,away,towards,1
A144N9R7W4H67O,7,retest,Mark is BLANK Ali. Mark walks forwards. Mark is getting further from Ali.,two_refs_egocentric,two_refs_egocentric_context,f7d845e3-bf92-43ca-8274-b0da84be24af,in front of,behind,1
A144N9R7W4H67O,7,retest,Mark is BLANK Ali. Mark walks forwards. Mark is getting further from Ali.,two_refs_egocentric,two_refs_egocentric_context,f7d845e3-bf92-43ca-8274-b0da84be24af,in front of,behind,1
A144N9R7W4H67O,7,retest,The box is next to the desk. Ali stacks the desk on the box. The box is BLANK the desk.,relative_pos,relative_pos_target,ce26d593-6e54-4ce5-b2ee-b510804b99cd,below,above,1
A144N9R7W4H67O,7,retest,The box is next to the desk. Ali stacks the desk on the box. The box is BLANK the desk.,relative_pos,relative_pos_target,ce26d593-6e54-4ce5-b2ee-b510804b99cd,below,above,1
A144N9R7W4H67O,7,retest,Mark and Ali are facing BLANK eachother. Mark turns around. Ali is facing away from Mark.,two_refs_egocentric,two_refs_egocentric_context,9f2a971f-7891-4d55-82e4-80ab3569a28c,away from,towards,1
A144N9R7W4H67O,7,retest,Mark and Ali are facing BLANK eachother. Mark turns around. Ali is facing away from Mark.,two_refs_egocentric,two_refs_egocentric_context,9f2a971f-7891-4d55-82e4-80ab3569a28c,away from,towards,1
A144N9R7W4H67O,7,retest,Mark and Ali are both facing BLANK. Ali turns to his right. Ali is facing away from Mark.,two_refs_egocentric,two_refs_egocentric_context,7df32e98-c6ec-4362-9615-aed868e66f99,left,right,1
A144N9R7W4H67O,7,retest,Mark and Ali are both facing BLANK. Ali turns to his right. Ali is facing away from Mark.,two_refs_egocentric,two_refs_egocentric_context,7df32e98-c6ec-4362-9615-aed868e66f99,left,right,1
A144N9R7W4H67O,7,retest,Ali and Mark are facing eachother. Mark turns around. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,49d0b194-7f0c-40e6-87dc-7e67c46a418e,towards,away from,1
A144N9R7W4H67O,7,retest,Ali and Mark are facing eachother. Mark turns around. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,49d0b194-7f0c-40e6-87dc-7e67c46a418e,towards,away from,1
A144N9R7W4H67O,7,retest,The ball and the box are on top of the ramp. The ball rolls down the ramp. The ball is BLANK the box.,relative_pos,relative_pos_target,e29fe444-020a-4ed2-9b9b-87fcf3d911c8,lower than,higher than,1
A144N9R7W4H67O,7,retest,The ball and the box are on top of the ramp. The ball rolls down the ramp. The ball is BLANK the box.,relative_pos,relative_pos_target,e29fe444-020a-4ed2-9b9b-87fcf3d911c8,lower than,higher than,1
A144N9R7W4H67O,7,retest,Ali is holding the tennis ball and the ping pong ball is on the floor. Ali BLANK the ping pong ball. The ping pong ball is closer to the tennis ball.,relative_pos,relative_pos_context,815efc19-8692-423b-86dd-902699bb7d2b,drops,picks up,0
A144N9R7W4H67O,7,retest,Ali is holding the tennis ball and the ping pong ball is on the floor. Ali BLANK the ping pong ball. The ping pong ball is closer to the tennis ball.,relative_pos,relative_pos_context,815efc19-8692-423b-86dd-902699bb7d2b,drops,picks up,0
A144N9R7W4H67O,7,retest,The box is next to the ball. Ali puts the box inside the ball. the ball is BLANK the box.,relative_pos,relative_pos_target,315733c9-f004-4fcf-a0fa-23ed7cf84a05,larger than,smaller than,1
A144N9R7W4H67O,7,retest,The box is next to the ball. Ali puts the box inside the ball. the ball is BLANK the box.,relative_pos,relative_pos_target,315733c9-f004-4fcf-a0fa-23ed7cf84a05,larger than,smaller than,1
A144N9R7W4H67O,7,retest,Mark is behind Ali. Mark walks backwards. Mark is getting BLANK Ali.,two_refs_egocentric,two_refs_egocentric_target,6ff6db1e-6e7d-45bd-88fa-ed04746596c0,further from,closer to,1
A144N9R7W4H67O,7,retest,Mark is behind Ali. Mark walks backwards. Mark is getting BLANK Ali.,two_refs_egocentric,two_refs_egocentric_target,6ff6db1e-6e7d-45bd-88fa-ed04746596c0,further from,closer to,1
A144N9R7W4H67O,7,retest,Mark is to the left of Ali. Mark looks to his left and Ali looks to his right. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,e12cb996-7c2b-43c4-b4cb-e05c3fcf653d,away from,towards,1
A144N9R7W4H67O,7,retest,Mark is to the left of Ali. Mark looks to his left and Ali looks to his right. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,e12cb996-7c2b-43c4-b4cb-e05c3fcf653d,away from,towards,1
A14E0Y5HPALKZN,3,retest,Chicago is BLANK Ali. Ali turns right. Chicago is right of Ali.,egocentric_distant,egocentric_distant_context,f7331836-b6ee-4bc7-b450-9586dd060445,behind,in front of,0
A14E0Y5HPALKZN,3,retest,The ball is BLANK the box. The ball moves right. The ball is higher than the box.,action_nonfollows,action_nonfollows_context,b57e5c96-351b-42e3-9537-dcbb9d829e85,above,under,1
A14E0Y5HPALKZN,3,retest,The ball is BLANK the box. Ali pushes the box forward. The ball is inside the box.,action_nonfollows,action_nonfollows_context,d387b3c2-04e5-4c89-bff6-7469bbf38a5d,inside,outside,1
A14E0Y5HPALKZN,3,retest,Chicago is BLANK Ali. Ali turns around. Chicago is right of Ali.,egocentric_distant,egocentric_distant_context,bd0f5cf2-1bf0-4afe-bd33-ce9732fbbc49,left of,right of,1
A14E0Y5HPALKZN,3,retest,Ali is BLANK the wagon. Ali pushes on the wagon. The wagon doesn't move.,action_nonfollows,action_nonfollows_context,f827d2d9-18d0-4d34-a155-7ec3d4f1b7ab,in,outside,0
A14E0Y5HPALKZN,3,retest,The book is under the table. Ali moves the book. The table BLANK.,action_nonfollows,action_nonfollows_target,f5e611bf-a370-4ff7-91e4-b512b870c4b9,doesn't move,moves,1
A14E0Y5HPALKZN,3,retest,The painting is right of Ali. Ali turns around. The painting is BLANK Ali.,egocentric_near,egocentric_near_target,b70fd0cd-135e-45b2-9cc2-f17a7dd652a8,left of,right of,1
A14E0Y5HPALKZN,3,retest,The ball is BLANK the box. Ali moves the box. The ball doesn't move.,action_nonfollows,action_nonfollows_context,e31e6e5a-3ac6-4936-9ae5-7611f9233c51,far from,touching,1
A14E0Y5HPALKZN,3,retest,Ali is in front of the statue. Ali turns around. Ali is BLANK.,action_nonfollows,action_nonfollows_target,fa00c2c2-ffdb-4b5a-9376-7bde7e7326dd,in front of the statue,behind the statue,0
A14E0Y5HPALKZN,3,retest,Ali is in the wagon. Ali pulls on the wagon. The wagon BLANK.,action_nonfollows,action_nonfollows_target,c3057e2d-31be-47c0-bd12-9a1422d7f838,doesn't move,moves,1
A14E0Y5HPALKZN,3,retest,The ball is resting on top of the box. Ali pushes the box forward. The ball is BLANK the box.,action_nonfollows,action_nonfollows_target,ceb88882-eb68-49e1-9b86-416b6f09e1a3,on top of,below,1
A14E0Y5HPALKZN,3,retest,Chicago is right of Ali. Ali turns around. Chicago is BLANK Ali.,egocentric_distant,egocentric_distant_target,c942a4b4-8538-400d-8605-2a4f0bc000ef,left of,right of,1
A14E0Y5HPALKZN,3,retest,The glass is on the table. Ali bumps the table. The glass BLANK.,state_follows,state_follows_target,ca2dc996-8318-492e-b057-cd6d42dc5072,breaks,doesn't break,1
A14E0Y5HPALKZN,3,retest,The wall was painted BLANK ago. Ali touches the wall. Ali's hand is clean.,state_nonfollows,state_nonfollows_context,cb63063d-f349-44f8-a2b7-e1f7ad288aba,1 month,5 minutes,1
A14E0Y5HPALKZN,3,retest,The painting is in front of Ali. Ali turns right. The painting is BLANK Ali.,egocentric_near,egocentric_near_target,f0714c55-5e03-4f80-8171-fb4af78e1ad8,left of,right of,1
A14E0Y5HPALKZN,3,retest,The baseball is close to Ali. Ali throws the baseball. The baseball is BLANK Ali.,action_follows,action_follows_target,c7e13c41-dd1f-4bd0-8e6b-903801880815,far from,close to,1
A14E0Y5HPALKZN,3,retest,The painting is BLANK Ali. Ali turns right. The painting is left of Ali.,egocentric_near,egocentric_near_context,bda90b60-3995-46b6-8be8-5c2fcc765df7,in front of,behind,1
A14E0Y5HPALKZN,3,retest,The ball is close to Ali. Ali throws the BLANK. The ball is close to Ali.,action_nonfollows,action_nonfollows_context,bcc54a8d-4b9f-4a07-a261-1d87bfdc9634,box,ball,0
A14E0Y5HPALKZN,3,retest,The ball is at the bottom of the ramp. Ali pushes the ball. The ball is at the BLANK of the ramp.,action_nonfollows,action_nonfollows_target,e2381bf9-9c62-4821-9eef-f3d59b881fd5,bottom,top of,0
A14E0Y5HPALKZN,3,retest,Ali is facing BLANK Milwaukee. Ali turns 180 degrees. Ali is facing towards Milwaukee.,egocentric_distant,egocentric_distant_context,d18aa318-48f9-40be-b322-d4fcddd58fba,away from,towards,1
A14E0Y5HPALKZN,3,retest,Ali is facing away from Milwaukee. Ali turns 180 degrees. Ali is facing BLANK Milwaukee.,egocentric_distant,egocentric_distant_target,d96621cb-4925-459d-b156-27a8a3456a19,towards,away from,1
A14E0Y5HPALKZN,3,retest,The empty glass is on the table. Ali fills the BLANK halfway. The glass is dry.,state_nonfollows,state_nonfollows_context,e65ff7c3-4d74-494c-974e-af6694c8dbac,sink,glass,1
A14E0Y5HPALKZN,3,retest,Ali is in the wagon. Ali pushes on the wagon. The wagon BLANK.,action_nonfollows,action_nonfollows_target,d131310b-9566-4029-bfa8-6f106043b088,doesn't move,moves,1
A14E0Y5HPALKZN,3,retest,The glass and the cup are on the table. Ali pushes the cup off the table. The glass BLANK.,state_nonfollows,state_nonfollows_target,fac9293b-e5d3-48d0-9c01-8172f9647c13,doesn't break,breaks,1
A14E0Y5HPALKZN,3,retest,The wine glass is on the table. Ali bumps the BLANK. The wine doesn't spill.,action_nonfollows,action_nonfollows_context,f90f4149-7255-448b-bd8d-a1a900581ee6,lamp,table,1
A14E0Y5HPALKZN,3,retest,The box is close to Ali. Ali throws the BLANK. The box is close to Ali.,action_nonfollows,action_nonfollows_context,cce2c8f9-2ca6-4851-93b5-e79efd0dfdae,ball,box,1
A14E0Y5HPALKZN,3,retest,Chicago is BLANK Ali. Ali turns left. Chicago is left of Ali.,egocentric_distant,egocentric_distant_context,b2947cb8-21ca-4d3e-9666-765c88ecadbd,behind,in front of,1
A14E0Y5HPALKZN,3,retest,The painting is left of Ali. Ali turns around. The painting is BLANK Ali.,egocentric_near,egocentric_near_target,d7a5f10b-56f3-4321-a665-c2c94f57e605,right of,left of,0
A14E0Y5HPALKZN,3,retest,Ali is BLANK. Ali turns around. Ali is behind the statue.,action_nonfollows,action_nonfollows_context,cc306a89-3dc5-4910-aa0b-f2bddee9154d,behind the statue,in front of the statue,1
A14E0Y5HPALKZN,3,retest,The book is BLANK the table. Ali moves the table. The book doesn't move.,action_nonfollows,action_nonfollows_context,c3e7a166-3f5b-47f1-b666-c3b03ceefd5c,under,on,1
A14E0Y5HPALKZN,3,retest,Ali is facing BLANK Chicago. Ali turns right. Chicago is left of Ali.,egocentric_distant,egocentric_distant_context,d11f84d4-2104-4b0c-8891-39fe2409a5f7,towards,away from,1
A14E0Y5HPALKZN,3,retest,The soup is on the table. Ali turns on the stove. The soup gets BLANK.,state_nonfollows,state_nonfollows_target,f48a91e2-22e0-4c2b-b42a-6ec8df05393f,colder,warmer,0
A14E0Y5HPALKZN,3,retest,Chicago is BLANK Ali. Ali turns right. Chicago is right of Ali.,egocentric_distant,egocentric_distant_context,f7331836-b6ee-4bc7-b450-9586dd060445,behind,in front of,0
A14E0Y5HPALKZN,3,retest,Chicago is BLANK Ali. Ali turns right. Chicago is right of Ali.,egocentric_distant,egocentric_distant_context,f7331836-b6ee-4bc7-b450-9586dd060445,behind,in front of,0
A14E0Y5HPALKZN,3,retest,The ball is BLANK the box. Ali pushes the box forward. The ball is inside the box.,action_nonfollows,action_nonfollows_context,d387b3c2-04e5-4c89-bff6-7469bbf38a5d,inside,outside,1
A14E0Y5HPALKZN,3,retest,The ball is BLANK the box. Ali pushes the box forward. The ball is inside the box.,action_nonfollows,action_nonfollows_context,d387b3c2-04e5-4c89-bff6-7469bbf38a5d,inside,outside,1
