prompt,a,b,Category,bin,prompt_format
Ali is facing BLANK Chicago. Ali turns left. Chicago is right of Ali.,towards,away from,egocentric_distant,1,context
Ali is facing BLANK Chicago. Ali turns left. Chicago is left of Ali.,away from,towards,egocentric_distant,2,context
Ali is facing BLANK Chicago. Ali turns right. Chicago is right of Ali.,away from,towards,egocentric_distant,3,context
Ali is facing BLANK Chicago. Ali turns around. Chicago is in front of Ali.,away from,towards,egocentric_distant,4,context
Ali is facing BLANK Milwaukee. Ali turns 180 degrees. Ali is facing towards Milwaukee.,away from,towards,egocentric_distant,1,context
Ali is facing BLANK Chicago. Ali turns 180 degrees. Chicago is in front of Ali.,away from,towards,egocentric_distant,2,context
The painting is BLANK Ali. Ali turns right. The painting is North of Ali.,North of,East of,geocentric_near,3,context
The painting is BLANK Ali. Ali turns right. The painting is South of Ali.,South of,West of,geocentric_near,4,context
The painting is BLANK Ali. Ali turns right. The painting is East of Ali.,East of,South of,geocentric_near,1,context
The painting is BLANK Ali. Ali turns right. The painting is West of Ali.,West of,North of,geocentric_near,2,context
Milwaukee is BLANK Ali. Ali turns right. Milwaukee is North of Ali.,North of,East of,geocentric_distant,3,context
Milwaukee is BLANK Ali. Ali turns right. Milwaukee is South of Ali.,South of,West of,geocentric_distant,4,context
Milwaukee is BLANK Ali. Ali turns right. Milwaukee is East of Ali.,East of,South of,geocentric_distant,1,context
Milwaukee is BLANK Ali. Ali turns right. Milwaukee is West of Ali.,West of,North of,geocentric_distant,2,context
The painting is BLANK Ali. Ali turns left. The painting is North of Ali.,North of,West of,geocentric_near,3,context
The painting is BLANK Ali. Ali turns left. The painting is South of Ali.,South of,East of,geocentric_near,4,context
The painting is BLANK Ali. Ali turns left. The painting is East of Ali.,East of,North of,geocentric_near,1,context
The painting is BLANK Ali. Ali turns left. The painting is West of Ali.,West of,South of,geocentric_near,2,context
Milwaukee is BLANK Ali. Ali turns left. Milwaukee is North of Ali.,North of,West of,geocentric_distant,3,context
Milwaukee is BLANK Ali. Ali turns left. Milwaukee is South of Ali.,South of,East of,geocentric_distant,4,context
Milwaukee is BLANK Ali. Ali turns left. Milwaukee is East of Ali.,East of,North of,geocentric_distant,1,context
Milwaukee is BLANK Ali. Ali turns left. Milwaukee is West of Ali.,West of,South of,geocentric_distant,2,context
Ali is directly BLANK of Milwaukee. Ali walks West. Ali is Southwest of Milwaukee.,South,North,geocentric_distant,3,context
Ali is directly BLANK Milwaukee. Ali walks East. Ali is Northeast of Milwaukee.,North of,South of,geocentric_distant,4,context
Ali is BLANK of Milwaukee. Ali walks North. Ali is getting closer to Milwaukee.,South,North,geocentric_distant,1,context
Ali is BLANK of Milwaukee. Ali walks South. Ali is getting further from Milwaukee.,South,North,geocentric_distant,2,context
Ali is BLANK of Milwaukee. Ali walks West. Ali is getting closer to Milwaukee.,East,West,geocentric_distant,3,context
Ali is BLANK of Milwaukee. Ali walks East. Ali is getting further from Milwaukee.,East,West,geocentric_distant,4,context
Milwaukee is BLANK of Ali. Ali walks East. Ali is getting further from Milwaukee.,West,East,geocentric_distant,1,context
Milwaukee is BLANK of Ali. Ali walks West. Ali is getting closer to Milwaukee.,West,East,geocentric_distant,2,context
The painting is BLANK Ali. Ali turns right. The painting is left of Ali.,in front of,behind,egocentric_near,3,context
The painting is BLANK of Ali. Ali turns right. The painting is behind Ali.,left,right,egocentric_near,4,context
The painting is BLANK of Ali. Ali turns right. The painting is in front of Ali.,right,left,egocentric_near,1,context
The painting is BLANK Ali. Ali turns right. The painting is right of Ali.,behind,in front of,egocentric_near,2,context
The painting is BLANK of Ali. Ali turns left. The painting is right of Ali.,in front of,behind,egocentric_near,3,context
The painting is BLANK of Ali. Ali turns left. The painting is in front of Ali.,left,right,egocentric_near,4,context
The painting is BLANK of Ali. Ali turns left. The painting is behind Ali.,right,left,egocentric_near,1,context
The painting is BLANK Ali. Ali turns left. The painting is left of Ali.,behind,in front of,egocentric_near,2,context
The wine glass is on the BLANK. The wine glass falls over. The wine spills on the table.,table,floor,action_follows,3,context
The wine glass is on the BLANK. Ali bumps the wine glass. The wine spills on the floor.,floor,table,action_follows,4,context
The wine glass is on the table. Ali bumps the BLANK. The wine doesn't spill.,lamp,table,action_nonfollows,1,context
The box is in the bin. Ali moves the BLANK. The bin doesn't move.,box,bin,action_nonfollows,2,context
The box is in the bin. Ali moves the BLANK. The box moves.,bin,box,action_follows,3,context
The ball is in the box. Ali moves the BLANK. The ball moves.,box,ball,action_follows,4,context
The ball is BLANK the box. Ali moves the box. The ball doesn't move.,far from,touching,action_nonfollows,1,context
The ball is BLANK the box. Ali pushes the box. The ball moves.,touching,far from,action_follows,2,context
The ball is BLANK the box. Ali pushes the box. The ball doesn't move.,far from,touching,action_nonfollows,3,context
The ball is BLANK the box. Ali pushes the box. The ball moves.,on top of,below,action_follows,4,context
The ball is BLANK the box. Ali pushes the box. The ball moves.,inside,outside,action_follows,1,context
The ball and the box are on the table. The BLANK falls off the table. The box is lower than the ball.,box,ball,relative_pos,2,context
The ball and the box are on the table. Ali picks up the BLANK. The ball is higher than the box.,ball,box,relative_pos,3,context
The ball and the box are on the floor. Ali picks up the BLANK. The ball is higher than the box.,ball,box,relative_pos,4,context
The ball and the box are on top of the ramp. The BLANK goes down the ramp. The ball is lower than the box.,ball,box,relative_pos,1,context
The tennis ball is BLANK the bowling ball. Ali rolls the bowling ball. The bowling ball is further from the tennis ball.,touching,far from,relative_pos,2,context
The tennis ball is BLANK the bowling ball. Ali rolls the bowling ball. The tennis ball is closer to the bowling ball.,far from,touching,relative_pos,3,context
Ali is holding the tennis ball and the ping pong ball is on the floor. Ali BLANK the ping pong ball. The ping pong ball is closer to the tennis ball.,drops,picks up,relative_pos,4,context
Ali is holding the tennis ball and the ping pong ball. Ali BLANK the ping pong ball. The ping pong ball is further from the tennis ball.,drops,picks up,relative_pos,1,context
The tennis ball is at the top of the ramp and the bowling ball is at the BLANK of the ramp. Ali rolls the tennis ball down the ramp. The tennis ball is getting closer to the bowling ball.,bottom,top,relative_pos,2,context
The tennis ball is at the top of the ramp and the bowling ball is at the BLANK of the ramp. Ali rolls the bowling ball up the ramp. The bowling ball is getting closer to the tennis ball.,bottom,top,relative_pos,3,context
The ball is next to the box. Ali puts the BLANK. The ball is smaller than the box.,ball inside the box,box inside the ball,relative_pos,4,context
The box is next to the ball. Ali puts the BLANK. the ball is larger than the box.,box inside the ball,ball inside the box,relative_pos,1,context
The box is next to the ball. Ali puts the BLANK. The ball is touching the box.,ball inside the box,box inside the ball,relative_pos,2,context
The ball is inside the box. Ali BLANK the ball. The ball is not touching the box.,picks up,doesn't pick up,relative_pos,3,context
The box is next to the desk. Ali stacks the BLANK. The box is above the desk.,box on the desk,desk on the box,relative_pos,4,context
The box is next to the desk. Ali stacks the BLANK. The box is below the desk.,desk on the box,box on the desk,relative_pos,1,context
The glass is on the table. Ali BLANK. The glass is below the table.,bumps the glass,doesn't bump the glass,relative_pos,2,context
The glass is on the floor. Ali sets the glass on the BLANK. The glass is above the table.,table,floor,relative_pos,3,context
The box is in front of the ball. Ali pushes the box BLANK ball. The ball is touching the box.,into,away from,relative_pos,4,context
The box is in front of the ball. Ali pushes the box BLANK the ball. The ball is not touching the box.,away from,into,relative_pos,1,context
The ball is BLANK the box. The ball moves right. The ball is lower than the box.,under,above,action_nonfollows,2,context
The ball is BLANK the box. The ball moves right. The ball is higher than the box.,above,under,action_nonfollows,3,context
Ali is BLANK the wagon. Ali pushes on the wagon. The wagon moves.,behind,in front of,action_follows,4,context
Ali is BLANK the wagon. Ali pulls on the wagon. The wagon moves.,in front of,behind,action_follows,1,context
The box is floating in the water. Ali puts a BLANK in the box. The box sinks.,bowling ball,tennis ball,action_follows,2,context
The box is floating in the water. Ali puts a BLANK in the box. The box floats.,tennis ball,bowling ball,action_nonfollows,3,context
The ball is on the table. Ali BLANK the table. The ball rolls.,tilts,doesn't tilt,action_follows,4,context
The seesaw is balanced. Ali tilts the BLANK side of the seesaw. The left side goes up.,right,left,action_follows,1,context
There is a bowling ball on the right side of the seesaw. Ali puts a BLANK on the left side of the seesaw. The left side stays up.,tennis ball,bowling ball,action_nonfollows,2,context
There is a bowling ball on the right side of the seesaw. Ali BLANK the bowling ball up. The right side goes up.,picks,doesn't pick,action_follows,3,context
The book is on the shelf. Ali bumps the BLANK. The book falls off the shelf.,shelf,lamp,action_follows,4,context
The wagon is on the BLANK of the hill. Ali pushes the wagon. The wagon rolls.,top,bottom,action_follows,1,context
The ping pong ball is on the floor. Ali rolls a tennis ball BLANK the ping pong ball. The ping pong ball moves.,into,away from,action_follows,2,context
The tennis ball is next to the bowling ball. Ali BLANK the tennis ball. The tennis ball is far from the bowling ball.,throws,doesn't throw,action_follows,3,context
Ali is BLANK the wagon. Ali pulls on the wagon. The wagon doesn't move.,in,outside,action_nonfollows,4,context
Ali is BLANK the wagon. Ali pushes on the wagon. The wagon doesn't move.,in,outside,action_nonfollows,1,context
The room is dark. Ali turns BLANK the light. The room gets lighter.,on,off,state_follows,2,context
The room is dark. Ali BLANK the candle. The room gets darker.,blows out,lights,state_follows,3,context
The room is bright. Ali BLANK the lights. The room is dark.,turns off,turns on,state_follows,4,context
The room is bright. Ali turns BLANK a light. The room gets brighter.,on,off,state_follows,1,context
Ali is standing on BLANK. Ali drops the glass. The glass doesn't break.,carpet,tile,state_follows,2,context
Ali is standing on BLANK. Ali drops the glass. The glass breaks.,tile,carpet,state_follows,3,context
The glass is on the table. Ali BLANK the glass. The table is wet.,overfills,half fills,state_follows,4,context
The glass is on the table. Ali fills the glass BLANK. The table is dry.,halfway,over full,state_nonfollows,1,context
The empty glass is on the table. Ali fills the BLANK halfway. The glass is dry.,sink,glass,state_nonfollows,2,context
The BLANK glass is on the table. Ali knocks the glass over. The table is dry.,empty,full,state_nonfollows,3,context
The BLANK glass is on the table. Ali knocks the glass over. The table is wet.,full,empty,state_nonfollows,4,context
The window is BLANK Ali. Ali throws the baseball forward. The window breaks.,in front of,behind,state_follows,1,context
The window is BLANK Ali. Ali throws the baseball forward. The window doesn't break.,behind,in front of,state_nonfollows,2,context
The window is behind Ali and the wall is BLANK Ali. Ali throws the baseball at the wall. The window doesn't break.,in front of,behind,state_nonfollows,3,context
The cup is empty. Ali pours BLANK in the cup. The cup is wet.,water,sand,state_follows,4,context
The cup is empty. Ali pours BLANK in the cup. The cup is dry.,sand,water,state_nonfollows,1,context
The wall was painted BLANK ago. Ali touches the wall. Ali's hand is painted.,5 minutes,1 month,state_follows,2,context
The wall was painted BLANK ago. Ali touches the wall. Ali's hand is clean.,1 month,5 minutes,state_nonfollows,3,context
The stove is BLANK. Ali puts his hand on the stove. Ali's hand is burnt.,on,off,state_follows,4,context
The stove is BLANK. Ali puts his hand on the stove. Ali's hand is not burnt.,off,on,state_nonfollows,1,context
The paper is in one piece. Ali BLANK the paper. The paper is in two pieces.,rips,folds,state_follows,2,context
The paper is in one piece. Ali BLANK the paper. The paper is in one piece.,folds,rips,state_nonfollows,3,context
The paper is in two pieces. Ali BLANK the pieces. The paper is in one piece.,tapes,rips,state_follows,4,context
The glass and the cup are on the table. Ali pushes the BLANK off the table. The glass doesn't break.,cup,glass,state_nonfollows,1,context
Ali is BLANK. Ali turns around. Ali is in front of the statue.,in front of the statue,behind the statue,action_nonfollows,2,context
Ali is BLANK. Ali turns around. Ali is behind the statue.,behind the statue,in front of the statue,action_nonfollows,3,context
The ball is close to Ali. Ali throws the BLANK. The ball is close to Ali.,box,ball,action_nonfollows,4,context
The box is close to Ali. Ali throws the BLANK. The box is close to Ali.,ball,box,action_nonfollows,1,context
The box is BLANK the tunnel. Ali goes under the tunnel. The box is above the tunnel.,above,below,action_nonfollows,2,context
The box is BLANK the bridge. Ali goes over the bridge. The box is below the bridge.,below,above,action_nonfollows,3,context
The light is BLANK. Ali flips the lightswitch. The light stays off.,unplugged,plugged in,state_nonfollows,4,context
The ice cube and the banana are in the fridge. Ali takes the BLANK out of the fridge. The ice cube doesn't melt.,banana,ice cube,state_nonfollows,1,context
The ball is BLANK the box. Ali pushes the ball forward. The ball is under the box.,under,above,action_nonfollows,2,context
The ball is BLANK the box. Ali pushes the box forward. The ball is on top of the box.,on top of,below,action_nonfollows,3,context
The ball is BLANK the box. Ali pushes the box forward. The ball is inside the box.,inside,outside,action_nonfollows,4,context
The icecube is in the freezer. Ali puts the icecube in the BLANK. The icecube melts.,frying pan,snow,state_follows,1,context
The icecube is in the freezer. Ali puts the icecube in the BLANK. The icecube doesn't melt.,snow,frying pan,state_nonfollows,2,context
The water is in the bucket. Ali puts the bucket in the BLANK. The water freezes.,freezer,refrigerator,state_follows,3,context
The apple is in the bucket. Ali puts the apple in the BLANK. The apple gets colder.,refrigerator,oven,state_follows,4,context
Ali is to Mark's BLANK. Ali turns around. Ali is to Mark's right.,right,left,two_refs_egocentric,1,context
Ali is to Mark's BLANK. Mark turns around. Ali is to Mark's left.,right,left,two_refs_egocentric,2,context
The painting is to Ali's BLANK. The painting is moved right. The painting is to Ali's right.,right,left,egocentric_near,3,context
The painting is to Ali's BLANK. The painting is moved left. The painting is to Ali's right.,left,right,egocentric_near,4,context
Ali is facing BLANK Mark. Ali turns around. Ali is facing towards Mark.,away from,towards,two_refs_egocentric,1,context
Ali is facing BLANK Mark. Ali turns around. Ali is facing away from Mark.,towards,away from,two_refs_egocentric,2,context
Ali and Mark are facing eachother. BLANK turns around. Ali is facing towards Mark.,Mark,Ali,two_refs_egocentric,3,context
Ali and Mark are facing BLANK eachother. Mark turns around. Mark is facing towards Ali.,away from,towards,two_refs_egocentric,4,context
Mark and Ali are facing BLANK eachother. Mark turns around. Ali is facing away from Mark.,away from,towards,two_refs_egocentric,1,context
Ali is to the BLANK Mark. Mark looks to his left and Ali looks to his right. Ali is facing away from Mark.,right of,left of,two_refs_egocentric,2,context
Mark is to the BLANK Ali. Mark looks to his left and Ali looks to his left. Ali is facing towards Mark.,left of,right of,two_refs_egocentric,3,context
Mark is to the BLANK Ali. Mark looks to his left and Ali looks to his right. Ali is facing away from Mark.,left of,towards,two_refs_egocentric,4,context
Ali is to the BLANK Mark. Mark looks to his right. Mark see Ali.,right of,left of,two_refs_egocentric,1,context
Ali is to the BLANK Mark. Mark looks to his left. Mark can't see Ali.,right of,left of,two_refs_egocentric,2,context
Mark is BLANK Ali. Ali turns around. Ali is facing away from Mark.,in front of,behind,two_refs_egocentric,3,context
Mark is BLANK Ali. Ali turns around. Ali is facing towards Mark.,behind,in front of,two_refs_egocentric,4,context
Mark and Ali are both facing BLANK. Ali turns to his left. Ali is facing away from Mark.,right,left,two_refs_egocentric,1,context
Mark and Ali are both facing BLANK. Ali turns to his right. Ali is facing away from Mark.,left,right,two_refs_egocentric,2,context
Mark is facing BLANK and Ali is facing left. Mark turns to his left. Mark is facing towards Ali.,right,left,two_refs_egocentric,3,context
Mark is BLANK Ali. Mark walks forwards. Mark is getting further from Ali.,in front of,behind,two_refs_egocentric,4,context
Mark is BLANK Ali. Mark walks backwards. Mark is getting further from Ali.,behind,in front of,two_refs_egocentric,1,context
Mark is BLANK Ali. Mark walks forwards. Mark is getting closer to Ali.,behind,in front of,two_refs_egocentric,2,context
Mark is facing BLANK Ali. Ali turns around. Mark is facing away Ali.,away from,towards,two_refs_egocentric,3,context
Mark is facing BLANK and Ali is facing West. Mark turns around. Mark is facing West.,East,West,two_refs_geocentric,4,context
Mark is directly BLANK of Milwaukee and Ali is directly South of Milwaukee. Mark is North of Ali.,North,South,two_refs_geocentric,1,context
Mark is directly BLANK of Paris and Ali is directly West of Paris. Mark is East of Ali.,East,West,two_refs_geocentric,2,context
Mark is directly BLANK of Paris and Ali is directly West of Paris. Ali is West of Mark.,East,West,two_refs_geocentric,3,context
Mark is directly BLANK of Paris and Ali is directly East of Paris. Ali is Southeast of Mark.,North,South,two_refs_geocentric,4,context
Mark is directly BLANK of Paris and Ali is directly West of Paris. Mark is Southeast of Ali.,South,North,two_refs_geocentric,1,context
Mark is BLANK of Ali facing East. Ali is West of Mark facing West. Mark is facing away from Ali.,East,West,two_refs_geocentric,2,context
Mark is BLANK of Ali facing East. Ali is East of Mark facing West. Mark is facing towards Ali.,West,East,two_refs_geocentric,3,context
Mark is BLANK of Ali. Mark turns right. Mark is East of Ali.,East,West,two_refs_geocentric,4,context
Milwaukee is North of Mark. Mark goes BLANK. Milwaukee is Northwest of Mark.,East,West,two_refs_geocentric,1,context
Milwaukee is South of Mark. Mark goes BLANK. Milwaukee is Southeast of Mark.,West,East,two_refs_geocentric,2,context
Milwaukee is South of Mark. Mark goes BLANK. Mark is Northeast of Milwaukee.,West,East,two_refs_geocentric,3,context
Mark is facing North and Ali is facing BLANK. Mark turns 90 degrees to his right. Mark and Ali are facing the same direction.,East,West,two_refs_geocentric,4,context
Mark is facing South and Ali is facing BLANK. Mark turns 90 degrees to his right. Mark and Ali are facing different directions.,East,West,two_refs_geocentric,1,context
Mark is facing East and Ali is facing BLANK. Mark turns 180 degrees. Mark and Ali are facing the same direction.,West,East,two_refs_geocentric,2,context
Mark and Ali are both directly East of Budapest. Mark walks BLANK. Ali is South of Mark.,North,South,two_refs_geocentric,3,context
Mark and Ali are both directly West of Budapest. Mark walks BLANK. Ali is North of Mark.,South,North,two_refs_geocentric,4,context
Mark is East of Budapest and Ali is West of Budapest. Mark walks directly BLANK Ali. Mark is heading West.,towards,away from,two_refs_geocentric,1,context
Mark is East of Budapest and Ali is West of Budapest. Ali walks directly BLANK Mark. Ali is heading East.,towards,away from,two_refs_geocentric,2,context
Mark is North of Budapest and Ali is South of Budapest. Ali walks directly BLANK Mark. Ali is walking South.,away from,towards,two_refs_geocentric,3,context
Mark is facing BLANK. Mark turns 90 degrees to his right. Mark is facing South.,East,West,geocentric_near,4,context
Mark is facing BLANK. Mark turns 90 degrees to his right. Mark is facing West.,South,North,geocentric_near,1,context
Mark is facing BLANK. Mark turns 90 degrees to his right. Mark is facing North.,West,East,geocentric_near,2,context
Mark is facing BLANK. Mark turns 90 degrees to his right. Mark is facing East.,North,South,geocentric_near,3,context
The statue is BLANK Ali. Ali walks East. The statue is North of Ali.,North of,West of,geocentric_near,4,context
The statue is BLANK Ali. Ali walks West. The statue is North of Ali.,North of,East of,geocentric_near,1,context
The statue is BLANK Ali. Ali walks East. The statue is South of Ali.,South of,West of,geocentric_near,2,context
The statue is BLANK Ali. Ali walks North. The statue is East of Ali.,East of,South of,geocentric_near,3,context
The statue is BLANK Ali. Ali walks South. The statue is East of Ali.,East of,North of,geocentric_near,4,context
The statue is BLANK Ali. Ali walks North. The statue is West of Ali.,West of,South of,geocentric_near,1,context
The statue is BLANK Ali. Ali walks South. The statue is West of Ali.,West of,North of,geocentric_near,2,context
The glass is on the BLANK. Ali bumps the table. The glass breaks.,table,floor,state_follows,3,context
The glass is on the floor. Ali bumps the BLANK. The glass doesn't break.,table,glass,state_nonfollows,4,context
The soup is on the stove. Ali turns BLANK the stove. The soup gets colder.,off,on,state_follows,1,context
The soup is on the BLANK. Ali turns on the stove. The soup gets warmer.,stove,table,state_follows,2,context
The soup is on the BLANK. Ali turns on the stove. The soup gets colder.,table,stove,state_nonfollows,3,context
The book is BLANK the table. Ali moves the table. The book moves.,on,under,action_follows,4,context
The book is BLANK the table. Ali moves the table. The book doesn't move.,under,on,action_nonfollows,1,context
The book is on the table. Ali moves the BLANK. The table doesn't move.,book,table,action_follows,2,context
The painting is North of Ali. Ali turns around. The painting is BLANK Ali.,North of,South of,geocentric_near,1,target
The painting is South of Ali. Ali turns around. The painting is BLANK Ali.,South of,North of,geocentric_near,2,target
The painting is East of Ali. Ali turns around. The painting is BLANK Ali.,East of,West of,geocentric_near,3,target
The painting is West of Ali. Ali turns around. The painting is BLANK Ali.,West of,East of,geocentric_near,4,target
The box is North of Ali. Ali turns around. The box is BLANK Ali.,North of,South of,geocentric_near,2,target
The box is South of Ali. Ali turns around. The box is BLANK Ali.,South of,North of,geocentric_near,3,target
The box is East of Ali. Ali turns around. The box is BLANK Ali.,East of,West of,geocentric_near,4,target
The box is West of Ali. Ali turns around. The box is BLANK Ali.,West of,East of,geocentric_near,1,target
Milwaukee is North of Ali. Ali turns around. Milwaukee is BLANK Ali.,North of,South of,geocentric_distant,3,target
Milwaukee is South of Ali. Ali turns around. Milwaukee is BLANK Ali.,South of,North of,geocentric_distant,4,target
Milwaukee is East of Ali. Ali turns around. Milwaukee is BLANK Ali.,East of,West of,geocentric_distant,1,target
Milwaukee is West of Ali. Ali turns around. Milwaukee is BLANK Ali.,West of,East of,geocentric_distant,2,target
The painting is in front of Ali. Ali turns around. The painting is BLANK Ali.,behind,in front of,egocentric_near,4,target
The painting is behind Ali. Ali turns around. The painting is BLANK Ali.,in front of,behind,egocentric_near,1,target
The painting is right of Ali. Ali turns around. The painting is BLANK Ali.,left of,right of,egocentric_near,2,target
The painting is left of Ali. Ali turns around. The painting is BLANK Ali.,right of,left of,egocentric_near,3,target
Ali is left of the painting. Ali turns around. Ali is BLANK the painting.,left of,right of,egocentric_near,4,target
Ali is in front of the painting. Ali turns around. Ali is BLANK the painting,in front of,behind,egocentric_near,1,target
Ali is in front of the painting. Ali turns around. The painting is BLANK Ali.,behind,in front of,egocentric_near,2,target
Ali is behind the painting. Ali turns around. Ali is BLANK the painting.,behind,in front of,egocentric_near,3,target
Ali is right of the painting. Ali turns around. Ali is BLANK the painting.,right of,left of,egocentric_near,1,target
Ali is left of the painting. Ali turns around. Ali is BLANK the painting.,left of,right of,egocentric_near,2,target
Chicago is in front of Ali. Ali turns around. Chicago is BLANK Ali.,behind,in front of,egocentric_distant,3,target
Chicago is behind Ali. Ali turns around. Chicago is BLANK Ali.,in front of,behind,egocentric_distant,4,target
Chicago is right of Ali. Ali turns around. Chicago is BLANK Ali.,left of,right of,egocentric_distant,1,target
Chicago is left of Ali. Ali turns around. Chicago is BLANK Ali.,right of,left of,egocentric_distant,2,target
Ali is facing towards Milwaukee. Ali turns around. Ali is facing BLANK Milwaukee.,away from,towards,egocentric_distant,3,target
Ali is facing away from Milwaukee. Ali turns around. Ali is facing BLANK Milwaukee.,towards,away from,egocentric_distant,4,target
Milwaukee is to Ali's right. Ali turns left. Ali is facing BLANK Milwaukee.,away from,towards,egocentric_distant,1,target
Chicago is to Ali's left. Ali turns left. Ali is facing BLANK Chicago.,towards,away from,egocentric_distant,2,target
Chicago is to Ali's left. Ali turns right. Ali is facing BLANK Chicago.,away from,towards,egocentric_distant,3,target
Chicago is behind Ali. Ali turns right. Chicago is BLANK Ali.,right of,left of,egocentric_distant,4,target
Chicago is behind Ali. Ali turns left. Chicago is BLANK Ali.,left of,right of,egocentric_distant,1,target
Chicago is in front of Ali. Ali turns left. Chicago is BLANK Ali.,right of,left of,egocentric_distant,2,target
Chicago is in front of Ali. Ali turns right. Chicago is BLANK Ali.,left of,right of,egocentric_distant,3,target
Ali is facing Chicago. Ali turns right. Chicago is BLANK Ali.,left of,right of,egocentric_distant,4,target
Ali is facing Chicago. Ali turns left. Chicago is BLANK Ali.,right of,left of,egocentric_distant,1,target
Ali is facing away from Chicago. Ali turns left. Chicago is BLANK Ali.,left of,right of,egocentric_distant,2,target
Ali is facing away from Chicago. Ali turns right. Chicago is BLANK Ali.,right of,left of,egocentric_distant,3,target
Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,in front of,behind,egocentric_distant,4,target
Ali is facing away from Milwaukee. Ali turns 180 degrees. Ali is facing BLANK Milwaukee.,towards,away from,egocentric_distant,1,target
Ali is facing away from Chicago. Ali turns 180 degrees. Chicago is BLANK Ali.,in front of,behind,egocentric_distant,2,target
The painting is North of Ali. Ali turns right. The painting is BLANK Ali.,North of,East of,geocentric_near,3,target
The painting is South of Ali. Ali turns right. The painting is BLANK Ali.,South of,West of,geocentric_near,4,target
The painting is East of Ali. Ali turns right. The painting is BLANK Ali.,East of,South of,geocentric_near,1,target
The painting is West of Ali. Ali turns right. The painting is BLANK Ali.,West of,North of,geocentric_near,2,target
Milwaukee is North of Ali. Ali turns right. Milwaukee is BLANK Ali.,North of,East of,geocentric_distant,3,target
